No.	SKU	Barcode	Name	Brand	Quantity
849	422211840	8.99499E+12	G4383700 GARNIER Gel Wash 120ml EBT	GARNIER	21
850	355500004	8.93617E+12	AVANDER Mặt Nạ Giấy 25g #Snail	AVANDER	21
851	224100001	8.93501E+12	Hadalabo - Lotion Ad.Nourish 100ml (da thường)	HADALABO	21
852	422211768	8.93609E+12	Funky Fresh BODYMISS 35ml	Bodymiss	21
853	242300003	3.61482E+12	ETIAXIL Detranspirant Traitement Roll-On 15ml -Peaux Sensibles CONFORT+(Nâu)	ETIAXIL	21
854	422206457	9E+12	REXONA NAM LĂN KHỬ MÙI ANTIBAC 45ML/24 CHAI	Rexona	21
855	422207040	8.00897E+12	Tesori D'oriente Shower Cream Lotus Flower And Shea Butter 500ml	Tesori D'Oriente	20
856	422200841	5.02132E+12	Dầu Gội Khô Girlz Only No Residue Nude 200ml	Girlz Only	20
857	422200264	8.80933E+12	ARRAHAN APPLE PEELING GEL 180ML	Arrahan	20
858	422204915	6.9237E+12	GARNIER LC WHITE UP TONE UP MASK AS	GARNIER	20
859	224100033	4.98724E+12	HADALABO GOKUJYUN MOISTURIZING FOAMING WASH 160ML	HADALABO	20
860	422200265	8.80919E+12	ARRAHAN CHARCOAL  PEELING GEL 180ML	Arrahan	20
861	422201790	8.93503E+12	Sữa tắm OTB Perfume White Pearl 1000g	ON THE BODY	20
862	422205636	8.80965E+12	Some By Mi Real Vitamin Brightening Care Mask 20g	SOME BY MI	20
863	386000010	8.80951E+12	JMsolution Water Luminous Avocado Nourishing In Oil Mask 35ml	JMsolution	20
864	422208089	6.9024E+12	[MINI] MAYBELLINE FIT ME FDT MP SPF TUBE5ML 112	MAYBELLINE	20
865	422210003	8.80953E+12	RAIP_TINH CHẤT DƯỠNG TÓC ARGAN HAIR OIL BABY POWDER 100ml	RAIP	20
866	422206520	8.93476E+12	BVS Diana Sensi Cool Fresh Mát Dịu Hoa Cúc 23cm	DIANA	20
867	422209139	8.80965E+12	(BM) innisfree Bija Trouble Facial Foam 150g (20)	Innisfree	20
868	345800038	8.80965E+12	"Some By Mi AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser 400g 		"	SOME BY MI	20
869	422200035	8.85001E+12	Neutrogena Blackhead Eliminating Scrub 100g	Neutrogena	20
870	241200032	8.93487E+12	TRESEMME DG SALON REBOND 8X640G	TRESEMME	20
871	422208985	3.33788E+12	MB097101/ MB102300 CERAVE FACIAL MOISTURISING LOTION PM 52ml (101167974)	CeraVe	20
872	213300043	4.9013E+12	607736 Biore Khăn Giấy Tẩy Trang 10 miếng ( hồng ) Dưỡng ẩm 	Biore	20
873	242300002	3.40136E+12	ETIAXIL Detranspirant Traitement Roll-On 15ml - Peaux Normales (Nhãn Đỏ)	ETIAXIL	20
874	422207034	8.00897E+12	Tesori D'oriente Shower Cream Lotus Flower And Shea Butter 250ml	Tesori D'Oriente	20
875	308500035	4.71154E+12	NARUKO Tea Tree Shine Control and Blemish Clear Peeling Gel 120ml	NARUKO	20
876	205600394	6.9024E+12	MBL KEM NEN FITME M&P SPF 118	MAYBELLINE	20
877	422204312	8.93622E+12	Cocoon Gel Rửa Mặt Bí Đao 310ml	COCOON	20
878	206200072	8.85003E+12	83731 XỊT NM NU N.TR 150ML 	NIVEA	20
879	204900010	3.43342E+12	 LA ROCHE-POSAY M9054120 Micellar Water Ultra Oil Skin - 200ml	LA ROCHE-POSAY	20
880	422204918	6.97018E+12	GARNIER H BOMB GREEN TEA MASK AS	GARNIER	20
881	422203521	8.93511E+12	Kotex BVS  Hằng Ngày COOL SM 20 miếng	KOTEX	20
882	422216064		Combo 2c SUNPLAY Skin Aqua Tone Up UV Essence Lavander 50g	sunplay	20
883	393800039	8.80335E+12	Frudia My Orchard Coconut Hand Cream 30ml	FRUDIA	20
884	422213294		Combo Tsubaki  Premium Volume & Repair Shampoo 490ml + Premium Volume & Repair Conditioner 490ml	Tsubaki	20
885	411800003	8.80101E+12	Innerb Collagen Shot 1box (6ea)	Innerb 	20
886	100230064	3.40157E+12	BIODERMA Sébium H20  (xanh) - 250ml	BIODERMA	20
887	422207313		WETTRUST INNER GARM Disposable Feminine Cleansing Gel (XANH)  (1 ống)	Wettrust	20
888	223600046	4.90998E+12	(BM) SENKA 70135 Perfect Aqua Bouncy Mask Bouncy & Moist 25ml 	SENKA	19
889	422202224	4.71016E+12	SEXYLOOK Jelly Mask Lên Men (xanh lá ) (3M)	sexylook	19
890	422207323	3.33788E+12	LA ROCHE POSAY MB459200 ANTH UVMUNE FLU SP50+ F50ML_EN-FR	LA ROCHE-POSAY	19
891	422212313	3.49932E+12	Cetaphil Hydrating Foaming 236ml	CETAPHIL	19
892	303300013	8.90114E+12	Hymalaya Herbals NEEM FACE PACK 100ml HMFC0017	HIMALAYA HERBALS	19
893	422203551	4.51141E+12	DHC Vitamin C Hard Capsule (90 Days Supply)	DHC	19
894	422215350	8.80949E+12	Pyunkang Yul ATO Mild Sun Cream 75ml  	Pyunkang Yul	19
895	422205163	4.71154E+12	[COMBO] NARUKO Raw Job’s Tears Supercritical CO2 Pore Minimizing & Brightening Mask (hộp 10 miếng)	NARUKO	19
896	422214146		COMBO 2 SIMPLE  REFESHING FACIAL WASH 150ml	SIMPLE	19
897	422213308		Combo 2c Cocoon Tinh Chất Bí Đao 70ml ( MẪU MỚI )	COCOON	19
898	422203512	9.55525E+12	Silky Girl No Sebum Pact	Silky Girl	19
899	422203251	8.93501E+12	Xịt khử mùi Hồng Mộc Lan (Refre Natural Rosa Magnolia) 30ml	Refre	19
900	204900039		COMBO KCN Anthelios Xl SPF50 Dry Touch Gel-Cream Anti-Shine 50ml (Không màu)  + LRP nước tẩy trang sensi 50ml	LA ROCHE-POSAY	19
901	224100022	8.93501E+12	HADALABO Advanced Nourish Cleansing Oil 200ml	HADALABO	19
902	422201060		Combo BNBG Trọn Bộ 7 Mặt Nạ Dưỡng Da Cao Cấp	BNBG	19
903	422211152		COMBO 2 VASELINE SDT Gluta-Hya Dưỡng Da Sáng Rạng Rỡ 330ML/12 Tuýp	VASELINE	19
904	293500050	3.66236E+12	SVR SEBIACLEAR Serum 30ml	SVR	19
905	422210198		 Combo Cocoon SRM Bí 140ml + Toner Bí 140ml 	COCOON	19
906	249400088	9.55525E+12	SILKGIRL Perfect Stay 20HR Eyeliner #01 Blackest Black GE0226-01	Silky Girl	19
907	422204997	71603529007	Trim - Nhíp đầu xéo	TRIM	19
908	223600031	4.90998E+12	SENKA ALL CLEAR WATER Micellar White 70ml	SENKA	19
909	308900002	8.80962E+12	Tenamyd  Tinh chất chống nắng dạng nước 70ml	Tenamyd 	19
910	355500001	8.93617E+12	AVANDER Mặt Nạ Giấy 25g #Pearl 	AVANDER	19
911	422214302		Dr.G Travel Brightening Up Sun+ SPF50+ PA+++ 20ml	Dr G	19
912	214000009	8.93501E+12	Xịt khử mùi  Refre 30ml-Hương Phấn	Refre	18
913	422205673	8.93622E+12	Cocoon Winter Melon Gel Cream 30ml	COCOON	18
914	422215896	8.80972E+12	Lilybyred Little Bitty Moment Eyeshadow 01 _Romantic Moment	Lilybyred	18
915	223600010	4.55052E+12	SENKA Perfect UV Milk 40ml 70159	SENKA	18
916	251900015	8.80938E+12	Rainbow L'AFFAIR Multi-Care Moisture Vitamin Mask	L'AFFAIR	18
917	422205059	8.85914E+12	Xịt Thơm Toàn Thân Malissa Kiss  - Hương Lost in Paradise	Malisa Kiss	18
918	281300003	19800036744	Sáp thơm phòng Renuzit Apple Cinnamon 198g	Renuzit	18
919	422207413	8.93501E+12	Sunplay Skin Aqua Tone Up UV Essence Latte Beige 50g	sunplay	18
920	422203927	8.8094E+12	VACOSI VM24-01 NATURAL STUDIO WATERPROOF EYELINER #01 Jet Black	VACOSI	18
921	209600031	47400247307	Bot cao rau Bac Ha 175g	Gillette	18
922	422205686	8.93484E+12	BCĐR P/S Điện S100 Màu Đen/20 Cây	 P/S	18
923	287100011	8.93476E+12	Khẩu Trang Unicharm 3D Mask Superfit Ngăn Khói Bụi (5cai)	3D Mask	18
924	319300001	8.80957E+12	By Wishtrend Natural Vitamin 21.5 Enhancing Sheet Mask	By Wistrend	18
925	201100055	8.8094E+12	Vacosi Dual Eyebrow Pencil 04 Dark Gray ( new ) 	VACOSI	18
926	379200005	8.93487E+12	CLEAR DG MAT LANH BAC HA AW0120 8X630G	CLEAR 	18
927	234300023	8.80934E+12	 MEDIHEAL Labocare Pan+Eno Lips 10ml - Healbalm (màu đỏ)	Mediheal	18
928	422215454	8.0044E+12	Kem đánh răng Marvis Classic Strong Mint 85ml	MARVIS	18
929	335100002	8.93501E+12	Kem rửa mặt Oxy 100g (Perfect wash)	Oxy	18
930	422206806	8.9361E+12	Cocoon Tẩy Tế Bào Chết Môi ( không hộp )	COCOON	18
931	399200001	8.93615E+12	BareSoul Sweet Talker Lipscrub 20g	BareSoul	18
932	422203146	8.93501E+12	Sunplay Skin Aqua Tone Up UV Milk Happiness Aura Rose Color 50g	sunplay	18
933	422205552		[COMBO] LA ROCHE-POSAY MCL Oily Skin 400ml + Effaclar Gel Moussant 50ml	LA ROCHE-POSAY	18
934	224100016	8.93501E+12	Hadalabo - Cream Pro Anti Aging - 50g	HADALABO	18
935	249500008	8.93501E+12	sunplay Sữa chống nắng (Skin Aqua-Silky White Gel ) 30g	sunplay	18
936	100180160	8.99138E+12	LOREAL WHITE PERFECT NIGHT CREAM WHITENING +EVEN TONE 50ML	L'OREAL	18
937	393800017	8.80335E+12	Frudia My Orchard Cherry Hand Cream 30ml	FRUDIA	18
938	281300001	23400000982	Sáp thơm phòng Renuzit Pure Breeze 198g	Renuzit	18
939	422204863	4.90133E+12	Kai Dao Cạo Lông Mày Lưỡi Đơn Thân Nhựa - 3P  Caml-3P4  (004184)	KAI	18
940	422205187		[COMBO] 5 MẶT NẠ GARNIER BC ANTI ACNE AS	GARNIER	18
941	298300022	4.9013E+12	Băng Vệ Sinh Laurier Hàng Ngày Không Mùi Active fit (40 miếng)541514	Laurier	18
942	422215969		[GIFT] ON THE BODY GĂNG TAY TẤY TẾ BÀO CHẾT	ON THE BODY	18
943	422202032	9.30083E+12	DOVE XỊT KHỬ MÙI NOURISHED&SMOOTH 150ML/12 CHAI	DOVE	18
944	422214308	8.93501E+12	Lipice Sheer color #Sandy Pink Hồng đất 2.4g	LIPICE SHEER COLOR 	18
945	422205444	8.80974E+12	Lemonade Supermatte Cushion - A01. Light (BỎ MẪU)	LEMONADE	18
946	287100002	8.93476E+12	Băng Vệ Sinh Sensi Diana Siêu Mỏng Cánh (Gói 8 Miếng)	DIANA	18
947	209600030	47400245105	Bot cao rau Huong chanh 175g	Gillette	18
948	422207314		WETTRUST INNERGARM Disposable Multicare Essence Gel 1,7g (CAM) (1 ống)	Wettrust	18
949	422211489		SENKA COMBO 2 ALL CLEAR WATER - Fresh Anti Shine 230ml 	SENKA	18
950	100070048	4.00581E+12	88367  NIVEA EXTRA WHITE NIGHT NOURISH 180ML	NIVEA	18
951	422215459	8.0044E+12	Kem đánh răng Marvis Aquatic Mint 85ml	MARVIS	18
952	422215373	8.80956E+12	DE MEMORIA Bộ 3 sữa dưỡng thể hương JASMINE ON MOON, ROSE ON VENUS, VANILLA ON MARS (5ml x 3)	DE MEMORIA	17
953	422203143	8.93501E+12	Sunplay Skin Aqua Clear White Outdoor 30g	sunplay	17
954	422209600		BNBG  Combo 10 miếng  Vita Genic HYDRATING Jelly Mask (xanh dương) 	BNBG	17
955	333900016	8.93501E+12	Son Sheer color POP 2,4g - Hồng Cam	LIPICE SHEER COLOR 	17
956	100740020	6.9024E+12	(NGƯNG KD) MAYBELLINE MASCARA LASH SENSATIONAL 10ML	MAYBELLINE	17
957	422212933	8.88647E+12	Vaseline Lip Care MELLOW ROSE 3g	VASELINE	17
958	355500010	8.93617E+12	AVANDER Clay Mask 110g ( Hũ ) #Soggy Mud	AVANDER	17
959	422201174	8.93854E+12	Sữa Tắm Parisian Chic for Her	Gennie	17
960	100080018	37000808312	Gel khử mùi Secret Clear Out xtend Unscented 73 gm	Secret	17
961	422206824	8.80949E+12	Mặt nạ BANOBAGI SUPER COLLAGEN MASK 24K GOLD - VÀNG	BANOBAGI	17
962	333900004	8.93501E+12	Son  Sheer Color Q 2,4g - Matcha	LIPICE SHEER COLOR 	17
963	422204917	6.97018E+12	GARNIER H BOMB GRAPE MASK AS	GARNIER	17
964	422215921	8.80939E+12	LILYBYRED Luv Beam Cheek 4.7g 01 _Loveable Coral	Lilybyred	17
965	422202632	8.88818E+12	Bio-essence B5 Moisturizing Gel 50g	Bio-essence	17
966	333900014	8.93501E+12	Son Sheer color POP 2,4g - Cam Phớt	LIPICE SHEER COLOR 	17
967	232100061	4.51141E+12	DHC - Viên uống rau xanh Nhật 30 ngày	DHC	17
968	422209841	3.62032E+11	[MINI] MINI OBAGI RETINOL 1.0 5G 	Obagi Medical	17
969	206700003	8.80941E+12	PUREDERM BLACK FOOD RECIPE MG EYE ZONE MASK 12G	PUREDERM	17
970	241600004	4.97663E+12	Pelican Cleansing Soap For Black Spots	Pelican	17
971	201100328	8.8094E+12	VAC PK02 PRO Bông Phấn Khô Tròn Nhỏ (1cai)	VACOSI	17
972	213300005	8.93468E+12	608069 Biore UV trắng mịn giảm nhờn-Perfect Face Milk Oil Control-  30ml	Biore	17
973	422215909	8.80972E+12	LILYBYRED Glassy Layer Fixing Tint 3.8g M16_Cherish Fudge	Lilybyred	17
974	358300002	8.80942E+12	Angel's Liquid Ampoule Gluthathione 7 Day	Angel's Liquid	17
975	100150041	3.33787E+12	M5030803 VICHY Thermal Spa Water - 50ml	VICHY	17
976	208200006	8.93487E+12	VASELINE Healthy White SPF24 PA++ UVA&UVB  200ml (24)	VASELINE	17
977	422207157	8.80969E+12	LANEIGE NEO Cushion Glow 21N 15G	LANEIGE	17
978	254700008	8.80937E+12	DERMAL Gold Collagen Essence Mask	DERMAL	17
979	422208242	8.93622E+12	Cocoon Tinh chất nghệ Hưng Yên x2.2 22% Vitamin C	COCOON	16
980	100240016	6.55439E+11	Paula's Choice Skin Perfecting 2% BHA Liquid 118ml [2010]	PAULA'S CHOICE	16
981	206500006	12044038840	Sáp khử mùi Old Spice  Fresh  85 g	Old Spice	16
982	254700011	8.80937E+12	DERMAL Rose Collagen Essence Mask	DERMAL	16
983	249600005		Kai Groom! Eyebrow Razer (1 cây)	KAI	16
984	222600042	8.88818E+12	Bio essence MIRACLE BIO WATER Cooling Sunscreen SPF50 + PA++ 40ml	Bio-essence	16
985	254700013	8.80937E+12	DERMAL Red Ginseng Collagen Essence Mask	DERMAL	16
986	422215906	8.80972E+12	LILYBYRED Glassy Layer Fixing Tint 3.8g M12 _Muscat Shower	Lilybyred	16
987	422215299	8.93601E+12	Dầu gội Nguyên Xuân dưỡng tóc 250ml (chai xanh)	Nguyên Xuân	16
988	331300031	4.9013E+12	MegRhythm  Mặt na hơi nóng cho Mắt hương Oải hương 5x24	MEGRHYTHM	16
